,team,season,Opponent,result,home score,away score,AGI,KAGI,Chance create,Total shots,Acc. Shots,Ball possession,Offence CBP,Pass CBP,Capture P,Defence P,Shots on target,Shots by PK,Passes,Acc. passes,Crosses,Acc. Crosses,Direct FK,Indirect FK,CK,throw-ins,Acc. throw-ins,Dribbles,Acc. Dribbles,Tackles,Acc. Tackles,Clearances,Interceptions,Offsides,Yellow cards,Red cards,Entries of 30m line,Entries of Penalty area,Total running distance,Sprints,Attack times
42,y-fm,2016,湘南,2,0,1,64,64,13.4,19,0.0,63.1,23.19,15.28,77.09,9.69,4,1,606,77.2,32,25.0,14,2,7,47,91.5,24,66.7,16,68.8,12,1,1,3,0,63,23,"115,991",176,142
43,y-fm,2016,名古屋,2,1,3,55,62,15.2,20,5.0,61.7,17.90,12.30,68.84,12.29,11,0,572,81.1,27,25.9,13,2,12,26,88.5,17,64.7,12,66.7,13,1,5,0,0,45,18,"107,957",155,132
44,y-fm,2016,甲府,1,2,2,59,50,16.7,20,10.0,53.4,23.58,16.04,71.00,18.43,6,0,599,82.0,28,32.1,15,1,6,25,100.0,16,56.3,16,87.5,29,1,0,1,0,58,22,"115,308",144,120
45,y-fm,2016,鹿島,2,0,1,53,49,7.4,11,0.0,54.6,15.08,9.99,95.41,13.24,4,0,464,73.1,17,35.3,16,1,3,35,80.0,20,50.0,38,84.2,15,6,4,2,0,36,14,"112,203",167,148
46,y-fm,2016,神戸,0,1,0,48,64,5.5,7,14.3,43.9,12.49,9.81,82.88,18.02,3,0,429,77.4,13,23.1,14,3,0,19,68.4,10,40.0,23,73.9,15,0,4,1,0,31,10,"110,896",115,127
47,y-fm,2016,柏,0,3,0,52,51,8.5,10,30.0,43.7,11.20,8.52,86.01,15.04,5,0,410,79.3,15,26.7,10,3,5,23,87.0,8,50.0,23,87.0,16,1,2,2,0,37,12,"107,113",107,118
48,y-fm,2016,川崎Ｆ,2,0,2,46,55,11.9,13,0.0,49.0,13.12,10.81,81.89,12.44,3,0,520,84.2,9,11.1,10,1,7,16,100.0,13,69.2,28,78.6,13,2,1,2,0,44,13,"112,766",134,109
49,y-fm,2016,大宮,1,1,1,54,62,12.6,16,6.3,57.5,19.54,16.55,113.51,5.87,8,0,629,83.1,20,5.0,15,3,9,27,92.6,25,44.0,17,82.4,9,7,4,0,0,53,14,"114,935",132,127
50,y-fm,2016,FC東京,2,0,1,49,51,16.0,21,0.0,56.4,18.57,13.99,92.32,15.46,5,0,575,79.7,9,22.2,18,2,4,23,95.7,16,87.5,23,78.3,26,3,2,2,0,45,16,"108,712",126,131
51,y-fm,2016,湘南,0,3,0,54,34,10.7,13,23.1,46.4,12.22,8.17,79.20,15.81,6,0,336,68.8,13,23.1,14,0,6,17,100.0,15,60.0,20,85.0,26,1,2,1,0,30,15,"110,685",152,121
