,team,season,Opponent,result,home score,away score,AGI,KAGI,Chance create,Total shots,Acc. Shots,Ball possession,Offence CBP,Pass CBP,Capture P,Defence P,Shots on target,Shots by PK,Passes,Acc. passes,Crosses,Acc. Crosses,Direct FK,Indirect FK,CK,throw-ins,Acc. throw-ins,Dribbles,Acc. Dribbles,Tackles,Acc. Tackles,Clearances,Interceptions,Offsides,Yellow cards,Red cards,Entries of 30m line,Entries of Penalty area,Total running distance,Sprints,Attack times
36,ka-f,2016,名古屋,0,3,2,56,50,7.9,10,30.0,64.3,29.32,26.87,108.77,16.59,4,0,823,86.1,19,15.8,7,3,5,17,100.0,12,25.0,15,73.3,25,3,2,0,0,62,27,117881,184,127
37,ka-f,2016,甲府,0,4,0,32,48,10.2,13,30.8,61.7,19.02,16.08,83.21,17.51,6,0,709,86.9,9,33.3,15,3,3,22,90.9,9,77.8,18,83.3,19,1,2,1,0,31,9,117881,135,127
38,ka-f,2016,鹿島,1,1,1,45,34,7.4,10,10.0,57.3,15.96,14.62,90.28,21.55,3,0,535,78.1,11,0.0,18,6,5,24,91.7,13,46.2,18,83.3,33,1,4,2,0,43,12,114456,189,136
39,ka-f,2016,鳥栖,0,1,0,46,46,16.5,19,5.3,55.6,21.68,18.02,87.65,17.03,3,0,642,83.6,13,30.8,13,2,1,13,92.3,14,35.7,21,61.9,27,4,2,1,0,51,16,113431,142,115
40,ka-f,2016,FC東京,0,4,2,37,37,5.9,7,57.1,57.3,15.39,14.67,95.29,15.04,4,1,645,83.6,10,10.0,12,0,3,19,100.0,4,25.0,26,80.8,16,7,6,1,0,41,12,113431,146,118
41,ka-f,2016,浦和,2,0,1,48,49,6.3,8,0.0,49.8,17.41,13.20,82.36,19.33,1,0,560,80.2,14,28.6,15,5,1,22,90.9,14,50.0,24,83.3,23,1,0,2,0,39,16,112017,155,126
42,ka-f,2016,Ｇ大阪,0,1,0,45,41,9.6,11,9.1,48.3,18.43,15.90,81.87,20.36,2,0,528,84.1,9,22.2,13,2,2,13,100.0,7,57.1,30,93.3,33,2,2,1,0,36,11,112017,154,114
43,ka-f,2016,仙台,1,1,1,57,45,9.0,11,9.1,51.3,18.26,15.24,77.86,12.87,4,0,556,78.4,14,7.1,12,3,4,27,100.0,11,63.6,13,84.6,18,4,4,2,0,48,14,106508,151,122
44,ka-f,2016,柏,0,3,1,49,50,11.3,13,23.1,57.3,21.85,15.99,82.52,14.20,5,0,656,86.0,15,40.0,11,0,4,23,91.3,10,70.0,17,70.6,18,5,5,1,0,43,17,106508,141,115
45,ka-f,2016,神戸,0,3,1,53,56,17.1,20,15.0,62.7,27.85,23.08,78.34,12.43,7,1,767,88.3,14,21.4,21,2,5,13,84.6,15,66.7,26,69.2,19,4,2,1,0,57,25,108049,151,117
46,ka-f,2016,新潟,1,0,0,56,53,13.2,16,0.0,61.1,21.78,17.71,89.23,14.26,4,0,690,85.4,25,24.0,13,1,5,25,96.0,19,21.1,24,66.7,26,1,2,2,0,58,19,108049,140,121
47,ka-f,2016,磐田,0,1,0,49,72,9.5,12,0.0,63.4,25.40,22.13,79.66,10.82,3,0,807,86.5,20,10.0,16,0,4,26,92.3,15,60.0,26,65.4,21,4,4,1,0,52,22,107649,142,126
48,ka-f,2016,横浜FM,0,2,0,45,54,13.6,15,13.3,51.0,22.36,18.52,99.48,11.83,5,1,681,88.7,11,27.3,19,1,3,13,92.3,13,69.2,18,83.3,29,1,1,0,0,42,14,107649,154,110
49,ka-f,2016,福岡,1,2,2,68,55,15.1,19,10.5,62.5,26.98,20.95,66.29,8.65,10,1,690,84.1,23,26.1,16,1,9,26,100.0,22,54.5,14,57.1,13,1,3,0,0,81,20,107649,123,126
50,ka-f,2016,大宮,0,2,0,52,48,16.2,19,10.5,55.8,23.99,21.40,89.52,14.26,6,0,721,87.5,16,12.5,7,1,5,26,100.0,9,55.6,13,84.6,19,4,5,2,0,54,21,116144,163,117
51,ka-f,2016,仙台,0,3,0,47,40,16.1,19,15.8,50.1,16.52,15.07,70.95,23.49,6,0,559,84.1,8,12.5,10,3,9,15,86.7,11,27.3,22,81.8,32,6,5,0,0,47,15,116144,122,118
52,ka-f,2016,名古屋,0,3,0,43,54,13.1,14,21.4,63.8,27.81,22.50,72.20,11.12,5,0,883,92.2,11,63.6,12,3,6,16,93.8,7,71.4,14,78.6,14,2,1,0,0,52,13,116144,148,107
53,ka-f,2016,新潟,0,3,2,60,59,18.9,21,9.5,57.3,22.64,18.76,70.24,9.19,10,0,658,86.0,21,14.3,12,4,8,15,93.3,14,57.1,15,73.3,9,0,2,2,0,63,19,107818,118,111
54,ka-f,2016,磐田,1,1,1,54,44,14.2,17,5.9,65.0,21.41,18.95,75.59,13.46,5,0,678,84.8,20,15.0,12,3,6,22,100.0,6,33.3,14,78.6,11,2,12,1,0,49,25,107818,177,120
55,ka-f,2016,FC東京,0,1,0,63,56,24.3,26,3.8,55.0,31.32,27.55,78.75,11.70,7,0,743,87.3,15,33.3,8,1,10,19,94.7,6,33.3,17,76.5,16,0,0,1,0,58,26,110640,108,107
56,ka-f,2016,湘南,0,3,2,57,44,13.0,15,20.0,49.7,18.72,15.43,69.91,16.38,6,0,540,83.1,12,33.3,19,5,1,16,100.0,6,66.7,15,86.7,38,3,4,0,0,50,19,110640,139,115
57,ka-f,2016,甲府,0,4,0,60,56,23.5,24,12.5,66.5,33.38,31.20,59.85,8.27,8,0,864,90.5,13,23.1,10,4,7,16,100.0,11,27.3,15,80.0,15,1,0,3,0,84,26,97896,120,102
58,ka-f,2016,鳥栖,2,0,1,30,43,7.0,8,0.0,60.3,18.98,17.71,57.44,15.26,4,0,684,86.1,3,33.3,13,9,1,9,100.0,5,40.0,12,66.7,18,1,3,0,1,37,8,97896,113,114
59,ka-f,2016,浦和,0,2,1,42,49,8.9,10,20.0,51.2,18.33,16.73,67.67,15.45,3,0,554,87.2,8,25.0,13,5,3,16,81.3,10,30.0,23,73.9,40,4,1,2,0,38,10,97896,117,112
60,ka-f,2016,柏,2,2,5,53,54,19.6,22,9.1,62.8,29.00,26.04,97.10,9.88,7,0,859,88.9,11,36.4,5,3,7,19,100.0,12,33.3,17,82.4,18,3,5,2,0,67,27,112449,124,112
61,ka-f,2016,福岡,0,3,1,49,55,14.5,16,18.8,57.7,28.67,24.83,86.54,12.53,8,0,779,86.4,11,27.3,9,4,6,13,92.3,12,50.0,20,60.0,15,4,2,0,0,56,18,107096,118,110
62,ka-f,2016,大宮,2,2,3,55,39,7.7,8,25.0,55.9,21.37,18.02,52.30,14.75,4,0,624,86.5,13,15.4,17,5,5,18,83.3,13,53.8,21,81.0,12,6,2,2,1,56,16,107096,123,104
63,ka-f,2016,横浜FM,0,3,2,56,61,20.6,22,13.6,52.0,25.70,21.13,72.22,13.52,10,0,644,86.8,12,33.3,9,6,7,14,100.0,12,58.3,18,66.7,24,1,0,1,0,51,23,111171,154,107
64,ka-f,2016,神戸,2,0,3,48,47,17.6,21,0.0,62.6,29.82,23.63,56.13,9.57,3,0,832,89.2,13,30.8,15,2,10,21,90.5,16,75.0,17,88.2,15,3,0,0,0,53,20,111171,145,119
65,ka-f,2016,広島,0,2,0,47,56,13.6,15,13.3,49.6,24.64,21.47,86.16,13.83,9,0,717,87.0,14,14.3,9,5,2,18,83.3,13,61.5,15,80.0,17,4,1,1,0,56,13,116123,148,110
